tool,readability_score,understandability_score,maintainability_score,is_vulnerable,is_buggy
ChatGPT,85.70333333333333,84.58,77.84666666666666,0.23666666666666666,0.6
Claude,74.07,70.76666666666667,53.04,0.27666666666666667,0.5766666666666667
Gemini,80.16666666666667,77.65,61.016666666666666,0.31,0.6933333333333334
GithubCopilot,77.99666666666667,75.25666666666666,68.41333333333333,0.25,0.5133333333333333
Sonarqube,86.26666666666667,86.26666666666667,93.26666666666667,0.016666666666666666,0.08666666666666667
